Total Sequences	759
Alignment Model	Unspecified
Alignment Reference Sequence	(none)
All gap sequences	1
Average number of comparable positions	1384
Average sequence length (model position only)	1394

Sequence Id	Start position	End position
362663	1	1430
362976	6	1427
363253	1	1430
365046	1	1430
366394	1	1430
366602	1	1430
367737	1	1430
367928	1	1430
368407	6	1427
368408	6	1427
370438	2	1430
373903	1	1430
374847	6	1427
375286	1	1430
376619	1	1430
376686	1	1430
377629	1	1430
378753	1	1430
378806	1	1430
379066	1	1430
380394	1	1430
380749	1	1430
381666	1	1430
381764	1	1430
383372	1	1430
383407	1	1430
384616	6	1427
384676	1	1430
384765	1	1430
386415	1	1430
387092	1	1430
387093	1	1430
387662	9	1419
388399	1	1429
388413	1	1430
391009	1	1430
391037	1	1430
391165	1	1430
391587	4	1430
391592	1	1430
391596	1	1424
391597	2	1430
391600	19	1349
391613	1	1430
391619	1	1430
391624	1	1429
391625	8	1430
391626	1	1430
391735	1	1430
394221	1	1430
395494	1	1430
395495	1	1430
395963	1	1430
395965	1	1430
396595	1	1430
397945	1	1430
397948	6	1427
398578	1	1430
398580	1	1430
398720	5	1430
399550	6	1427
399741	1	1430
399742	1	1430
399795	8	1430
400668	1	1430
401053	1	1430
401526	1	1429
402881	1	1430
403833	1	1430
405948	1	1430
406818	1	1430
410358	6	1427
411154	1	1430
411462	26	494
411467	498	842
411471	8	1425
411477	26	494
411489	930	1429
411490	8	1425
411684	66	843
415426	6	1427
416269	1	1430
416348	6	1427
416591	1	1430
416870	1	1430
419610	1	1430
420336	1	1430
420662	1	1430
426114	1	1430
429009	1	1430
431943	1	1430
434131	1	1430
436308	6	1427
438753	1	1430
439235	1	1430
439375	1	1430
439481	6	1427
439493	19	1349
441620	1	1430
441768	1	1430
441769	20	1362
443218	1	1430
443254	1	1430
443906	1	1430
445335	8	1430
445337	7	1416
445932	1	1430
445971	8	1425
445972	8	1425
446462	1	1430
446465	1	1430
446468	1	1430
446469	1	1430
446470	1	1430
446471	1	1430
448385	1	1430
449447	1	1430
450851	1	1430
451757	1	1430
452471	1	1430
452637	1	1430
452652	1	1430
452863	1	1430
453591	6	1427
455436	2	1426
456320	6	1427
456442	6	1427
456481	2	1430
457396	8	1425
457412	8	1425
457570	2	1430
458233	1	1430
465515	1	1430
469008	1	1430
469371	1	1430
469378	1	1430
469381	19	1346
469382	6	1427
469383	1	1430
469596	314	1425
471852	1	1430
471853	1	1430
471854	1	1430
471855	1	1430
471856	1	1430
471857	1	1430
471874	2	1430
472759	1	1430
477974	1	1430
478801	1	1430
479431	1	1430
479432	1	1430
479433	1	1430
479434	1	1430
479435	1	1430
479437	1	1430
481448	1	1430
481805	1	1430
483216	8	1425
483218	8	1425
483219	1	1430
485913	8	1425
485914	6	1428
485915	1	1430
485918	1	1430
488538	1	1430
489825	74	1395
490899	6	1427
491915	1	1430
497964	66	1430
498211	1	1430
498217	1	1430
498742	1	1430
498761	1	1430
498848	8	1430
499229	12	1421
500635	414	1425
501479	19	1350
502025	1	1430
502347	1	1430
504472	1	1430
504728	1	1430
504832	1	1430
506534	71	1356
509191	8	1425
511062	1	1430
511145	1	1430
511995	1	1430
513049	8	1430
515618	2	1430
515620	1	1430
515622	2	1430
515635	1	1430
517418	1	1430
518766	1	1430
519441	1	1430
519442	6	1427
521003	8	1013
521011	6	1427
521045	1	1430
521096	1	1430
521098	1	1430
521460	1	1430
521674	2	1430
522306	1	1430
522373	1	1430
522772	1	1430
523791	1	1430
523794	1	1430
523846	6	1427
523850	6	1427
525257	8	1425
525897	1	1430
525898	1	1430
525903	2	1430
525904	1	1430
525909	1	1430
526218	1	1430
526225	1	1430
529507	2	1430
530564	1	1430
533240	45	1430
533247	45	1430
536227	172	1430
536233	7	1429
537007	2	1374
537021	1	1430
543526	6	1427
545696	235	1425
546269	1	1430
546274	8	1425
547558	6	1427
547559	6	1427
548477	8	1425
550540	1	1430
551115	1	1430
552811	1	1430
553190	1	1430
553217	13	1398
555079	2	1430
555088	42	1385
555217	1	1430
555778	1	1430
555779	8	1430
556261	8	1425
556263	199	1430
556269	8	1425
557598	2	1430
562970	1	1430
562983	8	1425
563192	8	1425
565034	1	1430
568816	1	1430
572265	1	1430
572477	1	1430
572478	6	1427
572479	1	1430
572544	1	1430
572546	6	1427
572547	1	1430
573061	1	1430
573064	6	1427
573065	1	1430
573234	1	1425
573370	1	1430
573413	1	1430
574087	1	1430
575540	2	1430
577650	1	1430
579405	1	1430
580327	1	1430
580331	1	1430
580332	1	1430
580340	1	1430
582402	1	1430
582744	1	1430
583355	1	1430
583356	6	1427
584708	2	1430
585530	8	1425
585531	1	1430
589865	1	1430
589924	6	1427
590998	1	1430
592010	8	1425
592015	8	1425
592026	8	1425
592027	7	1429
592028	28	1412
592316	1	1430
595494	1	1430
595499	1	1430
595536	19	1349
595537	1	1430
596154	1	1430
596324	1	1369
596327	1	1378
596328	19	1350
596329	69	1350
598659	1	1430
608534	9	1412
608538	1	1430
621372	415	1350
622312	956	1350
622637	19	1349
626522	8	1425
626523	8	1425
626939	28	1409
627192	1	1430
632245	7	1429
633131	19	1349
633147	1	1430
633148	6	1427
634452	1	1430
634497	6	1427
634498	6	1427
634500	6	1429
634503	1	1430
635013	1	1430
637389	1	1430
637616	37	1372
637910	1	1430
638300	8	1425
638301	8	1425
638302	192	1348
638303	2	1430
639282	1	1430
639283	1	1430
640081	1	1430
641146	8	1425
641147	8	1425
642492	1	1430
643648	1	1430
643867	1	1430
644282	1	1430
644284	1	1430
644295	6	1427
645512	9	1400
645991	1	1430
647113	6	1427
648757	2	1430
648996	1	1430
649349	1	1430
649638	1	1430
650150	1	1430
652103	1	1430
653733	1	1430
655815	1	1430
658187	6	1400
660470	1	1430
663278	1	1430
663321	1	1430
666510	6	1427
666681	1	1430
666684	100	1294
667014	2	1430
667128	2	1376
669262	3	1377
670487	1	1430
675635	1	1430
675817	28	1379
679191	19	936
679192	6	1323
679197	8	1425
679897	1	1430
679901	6	1427
679926	6	1427
685035	5	1400
685727	1	1430
688245	1	1430
693746	1	1430
693977	1	1430
694427	1	1430
694429	6	1427
694569	1	1430
696127	1	1430
697281	2	1430
697282	8	1425
700015	1	1430
700598	1	1430
702113	1	1430
702450	863	1350
706433	8	1425
709032	1	1430
709991	1	1430
710696	1	1430
714943	1	1430
714961	59	1430
716544	1	1430
717231	1	1430
717773	1	1430
717785	1	1430
717962	8	955
742767	8	1398
742821	8	1425
743718	1	1430
743721	1	1430
743722	1	1430
744979	19	1349
744980	9	1395
745277	1	1430
747365	1	1430
748727	1	1430
749222	1	1430
749927	1	1430
755731	1	1430
755732	1	1430
756067	8	1425
757424	1	1430
759362	1	1430
760142	1	1430
760192	1	1430
760568	1	1430
761193	1	1430
762948	1	1430
762982	8	1425
762983	8	1398
765420	28	1392
765910	1	1430
765952	1	1430
768670	1	1430
768679	6	1427
768706	1	1430
795359	1	1430
795797	6	1427
797209	6	1428
797210	6	1427
856793	1	1430
857087	1	1430
859654	1	1430
862908	2	1430
864564	1	1430
865938	1	1430
866774	1	1380
866775	1	1430
866776	156	494
867900	1	1430
867903	19	1350
868132	6	1428
868864	1	1430
869210	1	1430
871271	1	1430
873517	9	1412
875328	1	1430
879305	1	494
880070	1	1430
880072	1	1430
880724	6	1427
882884	26	494
886377	1	1430
887062	8	1430
887325	63	1355
887327	8	1425
887898	8	1425
887929	8	1030
888056	9	1412
888060	413	934
888746	8	1425
903503	1	1430
907931	1	1430
908337	30	1418
908338	65	494
908340	10	1398
908612	65	1372
911045	1	1430
926569	1	1430
929506	1	1430
930945	6	1427
930946	6	1430
931626	1	1430
933115	4	1430
933801	6	1427
937774	1	1430
940190	2	1430
940615	723	1343
941770	1	1430
945021	1	1430
979556	1	1430
981222	1	1430
981383	28	1357
983544	1	1430
983548	1	1430
985867	19	1350
986075	6	1428
987059	1	1430
990316	6	1427
992406	1	1430
996637	229	1430
997346	69	1425
998088	1	1430
999141	56	1358
1000565	8	1425
1001994	47	1371
1003200	2	1430
1004836	8	1425
1005048	1	1430
1005058	1	1430
1006006	6	1427
1006551	1	1430
1007104	8	1425
1007105	1	1430
1009370	5	1430
1027292	28	1379
1029718	1	1430
1031711	1	1430
1032480	1	1430
1033802	2	1430
1033810	3	1430
1042156	1	1430
1045854	1	1430
1046627	8	1425
1050720	8	1425
1051632	1	1430
1053648	1	1430
1064535	1	1430
1064539	1	1430
1082931	1	1430
1097668	1	1430
1112204	1	1430
1127134	1	1430
1129369	1	1430
