TID	name	official name	superkingdom	phylum	class	order	family	genus	species	subspecies
398720	Leeuwenhoekiella blandensis	Leeuwenhoekiella blandensis MED217	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Leeuwenhoekiella	Leeuwenhoekiella blandensis	1
627192	Sphingobium sp. SYK6	Sphingobium sp. SYK-6	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingobium	1	1
717785	Hyphomicrobium sp. MC1	Hyphomicrobium sp. MC1	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Hyphomicrobium	1	1
266940	Kineococcus radiotolerans	Kineococcus radiotolerans SRS30216	Bacteria	Actinobacteria	Actinobacteria	Kineosporiales	Kineosporiaceae	Kineococcus	Kineococcus radiotolerans	1
269798	Cytophaga hutchinsonii	Cytophaga hutchinsonii ATCC 33406	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae	Cytophaga	Cytophaga hutchinsonii	1
164757	Mycobacterium sp. JLS	Mycobacterium sp. JLS	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	1	1
176279	Staphylococcus epidermidis RP62A	Staphylococcus epidermidis RP62A	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus epidermidis	1
641147	Simonsiella muelleri	Simonsiella muelleri ATCC 29453	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Simonsiella	Simonsiella muelleri	1
525264	Corynebacterium pseudogenitalium	Corynebacterium pseudogenitalium ATCC 33035	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium pseudogenitalium	1
716541	Enterobacter cloacae ATCC13047	Enterobacter cloacae subsp. cloacae ATCC 13047	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Enterobacter	Enterobacter cloacae	Enterobacter cloacae subsp. cloacae
592015	Anaerobaculum hydrogeniformans	Anaerobaculum hydrogeniformans ATCC BAA-1850	Bacteria	Synergistetes	Synergistia	Synergistales	Synergistaceae	Anaerobaculum	Anaerobaculum hydrogeniformans	1
635013	Thermincola potens	Thermincola potens JR	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptococcaceae	Thermincola	Thermincola potens	1
